id,session_id,session_name,time_slot,room,date,day,start_time,end_time,time_order
38,8,Drug Pricing and Market Competition,W2,SEH-3040,2026-06-03,Wednesday,15:30:00,16:40:00,2
46,8,Drug Pricing and Market Competition,W2,SEH-3040,2026-06-03,Wednesday,15:30:00,16:40:00,2
58,8,Drug Pricing and Market Competition,W2,SEH-3040,2026-06-03,Wednesday,15:30:00,16:40:00,2
116,28,Labor Policy and Institutions,W2,SEH-B1220,2026-06-03,Wednesday,15:30:00,16:40:00,2
167,28,Labor Policy and Institutions,W2,SEH-B1220,2026-06-03,Wednesday,15:30:00,16:40:00,2
211,28,Labor Policy and Institutions,W2,SEH-B1220,2026-06-03,Wednesday,15:30:00,16:40:00,2
37,29,Digital Platforms and Last-Mile Delivery,W2,SEH-B1270,2026-06-03,Wednesday,15:30:00,16:40:00,2
61,29,Digital Platforms and Last-Mile Delivery,W2,SEH-B1270,2026-06-03,Wednesday,15:30:00,16:40:00,2
98,29,Digital Platforms and Last-Mile Delivery,W2,SEH-B1270,2026-06-03,Wednesday,15:30:00,16:40:00,2
131,49,Taking Stock: System Dynamics Modeling in Industry Studies,W2,SEH-B2020,2026-06-03,Wednesday,15:30:00,16:40:00,2
131,49,Taking Stock: System Dynamics Modeling in Industry Studies,W2,SEH-B2020,2026-06-03,Wednesday,15:30:00,16:40:00,2
131,49,Taking Stock: System Dynamics Modeling in Industry Studies,W2,SEH-B2020,2026-06-03,Wednesday,15:30:00,16:40:00,2
131,49,Taking Stock: System Dynamics Modeling in Industry Studies,W2,SEH-B2020,2026-06-03,Wednesday,15:30:00,16:40:00,2
25,4,Private Equity and Capital Markets,W3,SEH-1300,2026-06-03,Wednesday,16:45:00,17:55:00,3
74,4,Private Equity and Capital Markets,W3,SEH-1300,2026-06-03,Wednesday,16:45:00,17:55:00,3
149,4,Private Equity and Capital Markets,W3,SEH-1300,2026-06-03,Wednesday,16:45:00,17:55:00,3
18,46,Energy Systems and Reliability,W3,SEH-1400,2026-06-03,Wednesday,16:45:00,17:55:00,3
42,46,Energy Systems and Reliability,W3,SEH-1400,2026-06-03,Wednesday,16:45:00,17:55:00,3
44,46,Energy Systems and Reliability,W3,SEH-1400,2026-06-03,Wednesday,16:45:00,17:55:00,3
189,46,Energy Systems and Reliability,W3,SEH-1400,2026-06-03,Wednesday,16:45:00,17:55:00,3
13,17,Entrepreneurship Research and Policy,W3,SEH-1450,2026-06-03,Wednesday,16:45:00,17:55:00,3
108,17,Entrepreneurship Research and Policy,W3,SEH-1450,2026-06-03,Wednesday,16:45:00,17:55:00,3
120,17,Entrepreneurship Research and Policy,W3,SEH-1450,2026-06-03,Wednesday,16:45:00,17:55:00,3
208,17,Entrepreneurship Research and Policy,W3,SEH-1450,2026-06-03,Wednesday,16:45:00,17:55:00,3
39,11,Healthcare Data and Analytics,W3,SEH-3040,2026-06-03,Wednesday,16:45:00,17:55:00,3
114,11,Healthcare Data and Analytics,W3,SEH-3040,2026-06-03,Wednesday,16:45:00,17:55:00,3
150,11,Healthcare Data and Analytics,W3,SEH-3040,2026-06-03,Wednesday,16:45:00,17:55:00,3
124,12,Healthcare Operations and Capacity,W3,SEH-B1220,2026-06-03,Wednesday,16:45:00,17:55:00,3
125,12,Healthcare Operations and Capacity,W3,SEH-B1220,2026-06-03,Wednesday,16:45:00,17:55:00,3
